Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Packet Length Mean,Packet Length Std,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Bwd Packets,act_data_pkt_fwd,Active Mean,Idle Mean,Inbound,Label,LabelID
104018464,16,10,0.0,0.0,0.0,0.0,0.0,0.2499556232631929,0.0,0.0,0,0,0,1,0.0,0.0,0.0,16,10,0,895745.8,16589955.666666664,1,Syn,1
107389147,16,6,0.0,0.0,0.0,0.0,0.0,0.2048624150073563,0.0,0.0,0,0,0,1,0.0,0.0,0.0,16,6,0,45.57142857142858,15341254.285714284,1,Syn,1
110319058,14,0,0.0,0.0,0.0,0.0,0.0,0.1269046369123275,0.0,0.0,0,0,0,1,0.0,0.0,0.0,14,0,0,1.0,18386508.5,1,Syn,1
112230011,14,2,0.0,0.0,0.0,0.0,0.0,0.1425643627532033,0.0,0.0,0,0,0,1,0.0,0.0,0.0,14,2,0,11.400000000000002,18704992.166666668,1,Syn,1
1,2,0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,2,0,0,0.0,0.0,1,Syn,1
48,2,0,0.0,0.0,0.0,0.0,0.0,41666.66666666666,0.0,0.0,0,0,0,1,0.0,0.0,0.0,2,0,0,0.0,0.0,1,Syn,1
109127100,10,0,0.0,0.0,0.0,0.0,0.0,0.0916362663353099,0.0,0.0,0,0,0,1,0.0,0.0,0.0,10,0,0,1.0,27281773.75,1,Syn,1
107165204,16,2,0.0,0.0,0.0,0.0,0.0,0.1679649674347655,0.0,0.0,0,0,0,1,0.0,0.0,0.0,16,2,0,15.428571428571429,15309299.42857143,1,Syn,1
110155657,16,2,0.0,0.0,0.0,0.0,0.0,0.1634051349718698,0.0,0.0,0,0,0,1,0.0,0.0,0.0,16,2,0,21.5,15736503.857142858,1,Syn,1
108925118,14,2,0.0,0.0,0.0,0.0,0.0,0.1468899028413262,0.0,0.0,0,0,0,1,0.0,0.0,0.0,14,2,0,26.66666666666667,18154159.666666664,1,Syn,1
1,2,0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,2,0,0,0.0,0.0,1,Syn,1
1,2,0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,2,0,0,0.0,0.0,1,Syn,1
49,2,0,0.0,0.0,0.0,0.0,0.0,40816.32653061225,0.0,0.0,0,0,0,1,0.0,0.0,0.0,2,0,0,0.0,0.0,1,Syn,1
102465866,14,0,0.0,0.0,0.0,0.0,0.0,0.1366308659314898,0.0,0.0,0,0,0,1,0.0,0.0,0.0,14,0,0,8.833333333333332,17077635.5,1,Syn,1
115804309,14,0,0.0,0.0,0.0,0.0,0.0,0.1208936016361878,0.0,0.0,0,0,0,1,0.0,0.0,0.0,14,0,0,9.0,19300709.166666664,1,Syn,1
49,2,0,0.0,0.0,0.0,0.0,0.0,40816.32653061225,0.0,0.0,0,0,0,1,0.0,0.0,0.0,2,0,0,0.0,0.0,1,Syn,1
96045030,14,0,0.0,0.0,0.0,0.0,0.0,0.1457649604565691,0.0,0.0,0,0,0,1,0.0,0.0,0.0,14,0,0,1.0,16007504.166666664,1,Syn,1
